file,sweep,rpm,temperature_c,kappa,viscosity_40c_cst,viscosity_100c_cst
scope_20260424_115654,sweep_1090,2976.6,49.0,1.1688,22.0,4.1
scope_20260424_115654,sweep_1091,2962.8,48.0,1.2087,22.0,4.1
scope_20260424_115654,sweep_1092,2976.8,48.0,1.2115,22.0,4.1
scope_20260424_115654,sweep_1093,2962.8,48.0,1.2087,22.0,4.1
scope_20260424_115654,sweep_1094,2976.5,48.0,1.2114,22.0,4.1
scope_20260424_115654,sweep_1095,2962.5,48.0,1.2086,22.0,4.1
scope_20260424_115654,sweep_1096,2976.8,48.0,1.2115,22.0,4.1
scope_20260424_115654,sweep_1097,2976.8,48.0,1.2115,22.0,4.1
scope_20260424_115654,sweep_1098,2976.8,48.0,1.2115,22.0,4.1
scope_20260424_115654,sweep_1099,2963.1,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_110,725.1,42.0,0.6587,22.0,4.1
scope_20260424_115654,sweep_1100,2976.3,47.0,1.2562,22.0,4.1
scope_20260424_115654,sweep_1101,2962.8,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_1102,2976.9,47.0,1.2564,22.0,4.1
scope_20260424_115654,sweep_1103,2962.8,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_1104,2962.7,47.0,1.2533,22.0,4.1
scope_20260424_115654,sweep_1105,2962.4,47.0,1.2533,22.0,4.1
scope_20260424_115654,sweep_1106,2976.6,47.0,1.2563,22.0,4.1
scope_20260424_115654,sweep_1107,2962.5,46.0,1.3003,22.0,4.1
scope_20260424_115654,sweep_1108,2976.8,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_1109,2976.8,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_111,716.0,42.0,0.6517,22.0,4.1
scope_20260424_115654,sweep_1110,2963.0,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1111,2963.0,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1112,2963.0,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1113,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1114,2962.5,46.0,1.3003,22.0,4.1
scope_20260424_115654,sweep_1115,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1116,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1117,2976.6,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_1118,2976.9,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1119,2976.9,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_112,895.1,42.0,0.7844,22.0,4.1
scope_20260424_115654,sweep_1120,2962.7,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1121,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1122,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1123,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1124,2976.6,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_1125,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1126,2976.6,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_1127,2962.7,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1128,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1129,2976.6,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_113,888.8,42.0,0.7799,22.0,4.1
scope_20260424_115654,sweep_1130,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1131,2962.7,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1132,2977.1,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1133,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1134,2962.7,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1135,2963.0,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1136,2962.5,46.0,1.3003,22.0,4.1
scope_20260424_115654,sweep_1137,2962.8,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_1138,2976.5,47.0,1.2563,22.0,4.1
scope_20260424_115654,sweep_1139,2976.9,47.0,1.2564,22.0,4.1
scope_20260424_115654,sweep_114,881.3,41.0,0.8056,22.0,4.1
scope_20260424_115654,sweep_1140,2962.8,48.0,1.2087,22.0,4.1
scope_20260424_115654,sweep_1141,2962.7,48.0,1.2086,22.0,4.1
scope_20260424_115654,sweep_1142,2976.3,48.0,1.2114,22.0,4.1
scope_20260424_115654,sweep_1143,2827.9,49.0,1.1393,22.0,4.1
scope_20260424_115654,sweep_1144,2840.9,49.0,1.1419,22.0,4.1
scope_20260424_115654,sweep_1145,2841.0,49.0,1.1419,22.0,4.1
scope_20260424_115654,sweep_1146,2841.0,49.0,1.1419,22.0,4.1
scope_20260424_115654,sweep_1147,2840.9,49.0,1.1419,22.0,4.1
scope_20260424_115654,sweep_1148,2840.8,50.0,1.1022,22.0,4.1
scope_20260424_115654,sweep_1149,2840.8,50.0,1.1022,22.0,4.1
scope_20260424_115654,sweep_115,868.9,41.0,0.7962,22.0,4.1
scope_20260424_115654,sweep_1150,2841.0,50.0,1.1023,22.0,4.1
scope_20260424_115654,sweep_1151,2841.0,50.0,1.1023,22.0,4.1
