channel,target,feature,band,ftype,mean_abs_shap,frac
US,Temp,US_20-100kHz__spectral_flatness,20-100kHz,spectral,0.030864471618534166,0.0012054424083425001
US,Temp,US_20-100kHz__spectral_skewness,20-100kHz,spectral,0.028373887457431933,0.0011081701852361145
US,Temp,US__complexity,broadband,complexity,0.7639289170621902,0.029835998003378723
US,Temp,US__crest_factor,broadband,shape,0.10370168005904631,0.004050171488582156
US,Temp,US__dominant_frequency,broadband,spectral,0.4036253353087201,0.015763985927768818
US,Temp,US__kurtosis,broadband,shape,0.18956923764950884,0.007403813718380722
US,Temp,US__margin_factor,broadband,shape,0.08228166808227079,0.0032135917750806234
US,Temp,US__rms,broadband,amplitude,0.9075961565413957,0.03544706386895265
US,Temp,US__shape_factor,broadband,shape,0.0958662477222595,0.003744150943562063
US,Temp,US__skewness,broadband,shape,0.13733816273765903,0.00536387752539405
